Month,Day,ConfirmDiff,RecoverDiff,DeathsDiff
8,7,25.0,15.0,0.0
8,8,7.0,47.0,0.0
8,9,13.0,9.0,0.0
8,10,11.0,19.0,0.0
8,11,9.0,6.0,0.0
8,12,11.0,8.0,0.0
8,13,15.0,4.0,0.0
8,14,20.0,7.0,0.0
8,15,26.0,3.0,0.0
8,16,25.0,28.0,0.0
8,17,12.0,17.0,0.0
8,18,7.0,26.0,0.0
8,19,16.0,23.0,0.0
8,20,5.0,7.0,0.0
8,21,9.0,13.0,0.0
8,22,8.0,4.0,0.0
8,23,10.0,10.0,0.0
8,24,7.0,6.0,0.0
8,25,11.0,6.0,0.0
8,26,6.0,7.0,0.0
8,27,5.0,16.0,0.0
8,28,10.0,36.0,0.0
8,29,11.0,8.0,0.0
8,30,17.0,10.0,1.0
8,31,6.0,6.0,1.0
9,1,14.0,21.0,1.0
9,2,6.0,4.0,0.0
9,3,14.0,4.0,0.0
9,4,11.0,9.0,0.0
9,5,6.0,21.0,0.0
9,6,6.0,2.0,0.0
9,7,62.0,9.0,0.0
9,8,100.0,12.0,0.0
9,9,24.0,7.0,0.0
9,10,45.0,24.0,0.0
9,11,182.0,14.0,0.0
9,12,58.0,8.0,0.0
9,13,47.0,7.0,0.0
9,14,31.0,7.0,0.0
9,15,23.0,6.0,0.0
9,16,62.0,26.0,0.0
9,17,21.0,15.0,0.0
9,18,95.0,14.0,1.0
9,19,20.0,51.0,1.0
9,20,52.0,40.0,0.0
9,21,57.0,40.0,0.0
9,22,82.0,168.0,0.0
9,23,147.0,39.0,3.0
9,24,71.0,64.0,0.0
9,25,111.0,30.0,0.0
9,26,82.0,89.0,0.0
9,27,150.0,50.0,1.0
9,28,115.0,54.0,0.0
9,29,101.0,50.0,0.0
9,30,89.0,28.0,2.0
10,1,260.0,47.0,0.0
10,2,287.0,81.0,0.0
10,3,317.0,121.0,1.0
10,4,293.0,67.0,0.0
10,5,432.0,57.0,0.0
10,6,691.0,87.0,4.0
10,7,489.0,74.0,0.0
